data,dia_semana,milhar_1,cabeca_1,bicho_nome_1,bicho_numero_1,milhar_2,cabeca_2,bicho_nome_2,bicho_numero_2,milhar_3,cabeca_3,bicho_nome_3,bicho_numero_3,milhar_4,cabeca_4,bicho_nome_4,bicho_numero_4,milhar_5,cabeca_5,bicho_nome_5,bicho_numero_5,milhar_6,cabeca_6,bicho_nome_6,bicho_numero_6,milhar_7,cabeca_7,bicho_nome_7,bicho_numero_7,milhar_8,cabeca_8,bicho_nome_8,bicho_numero_8,milhar_9,cabeca_9,bicho_nome_9,bicho_numero_9,milhar_10,cabeca_10,bicho_nome_10,bicho_numero_10
2026-09-13,domingo,1024,10,Cabra,6,3277,32,Peru,20,9237,92,Coelho,10,2956,29,Gato,14,3692,36,Urso,23,5916,59,Borboleta,4,3711,37,Burro,3,6251,62,Galo,13,2919,29,Cachorro,5,4423,44,Cabra,6
2026-09-12,sábado,5769,57,Porco,18,6506,65,Águia,2,1576,15,Pavâo,19,1749,17,Galo,13,9928,99,Carneiro,7,9331,93,Camelo,8,8385,83,Tigre,22,9564,95,Leâo,16,3222,32,Cabra,6,9292,92,Urso,23
2026-09-11,sexta-feira,1179,11,Peru,20,3134,31,Cobra,9,2448,24,Elefante,12,7068,70,Macaco,17,1118,11,Cachorro,5,8543,85,Cavalo,11,2716,27,Borboleta,4,2820,28,Cachorro,5,9801,98,Avestruz,1,5234,52,Cobra,9
2026-09-10,quinta-feira,4992,49,Urso,23,3414,34,Borboleta,4,0096,00,Veado,24,0283,02,Touro,21,8168,81,Macaco,17,0246,02,Elefante,12,0595,05,Veado,24,8379,83,Peru,20,1097,10,Vaca,25,9444,94,Cavalo,11
2026-09-09,quarta-feira,3111,31,Burro,3,1524,15,Cabra,6,5848,58,Elefante,12,5625,56,Carneiro,7,0658,06,Jacaré,15,7810,78,Burro,3,8451,84,Galo,13,3579,35,Peru,20,6497,64,Vaca,25,0593,05,Veado,24
2026-09-08,terça-feira,2308,23,Águia,2,8700,87,Vaca,25,8315,83,Borboleta,4,8442,84,Cavalo,11,2025,20,Carneiro,7,4768,47,Macaco,17,0014,00,Borboleta,4,5272,52,Porco,18,8344,83,Cavalo,11,6300,63,Vaca,25
2026-09-07,segunda-feira,9115,91,Borboleta,4,6143,61,Cavalo,11,6774,67,Pavâo,19,9174,91,Pavâo,19,2728,27,Carneiro,7,8609,86,Burro,3,2567,25,Macaco,17,5400,54,Vaca,25,0637,06,Coelho,10,1781,17,Touro,21
2026-09-06,domingo,5398,53,Vaca,25,8747,87,Elefante,12,0177,01,Peru,20,7001,70,Avestruz,1,2213,22,Borboleta,4,6634,66,Cobra,9,0849,08,Galo,13,6657,66,Jacaré,15,4195,41,Veado,24,9876,98,Pavâo,19
2026-09-05,sábado,0780,07,Peru,20,9196,91,Veado,24,9010,90,Burro,3,4311,43,Burro,3,7802,78,Avestruz,1,4190,41,Urso,23,5000,50,Vaca,25,4729,47,Camelo,8,0724,07,Cabra,6,3352,33,Galo,13
2026-09-04,sexta-feira,8081,80,Touro,21,7701,77,Avestruz,1,2666,26,Macaco,17,6416,64,Borboleta,4,2661,26,Leâo,16,9474,94,Pavâo,19,2332,23,Camelo,8,8149,81,Galo,13,8255,82,Gato,14,6598,65,Vaca,25
2026-09-03,quinta-feira,0172,01,Porco,18,9495,94,Veado,24,0603,06,Avestruz,1,8366,83,Macaco,17,3019,30,Cachorro,5,8491,84,Urso,23,3057,30,Jacaré,15,0024,00,Cabra,6,4102,41,Avestruz,1,6600,66,Vaca,25
2026-09-02,quarta-feira,6227,62,Carneiro,7,9005,90,Águia,2,8481,84,Touro,21,7762,77,Leâo,16,1528,15,Carneiro,7,7707,77,Águia,2,4256,42,Gato,14,6347,63,Elefante,12,0530,05,Camelo,8,5927,59,Carneiro,7
2026-09-01,terça-feira,7385,73,Tigre,22,3489,34,Urso,23,9629,96,Camelo,8,0201,02,Avestruz,1,0148,01,Elefante,12,8259,82,Jacaré,15,3737,37,Coelho,10,9559,95,Jacaré,15,2871,28,Porco,18,4017,40,Cachorro,5
2026-08-31,segunda-feira,9083,90,Touro,21,5182,51,Touro,21,4489,44,Urso,23,9664,96,Leâo,16,9970,99,Porco,18,4661,46,Leâo,16,7479,74,Peru,20,7848,78,Elefante,12,8165,81,Macaco,17,2833,28,Cobra,9
2026-08-30,domingo,7889,78,Urso,23,5217,52,Cachorro,5,1593,15,Veado,24,7581,75,Touro,21,6351,63,Galo,13,2330,23,Camelo,8,6012,60,Burro,3,7053,70,Gato,14,2876,28,Pavâo,19,0346,03,Elefante,12
2026-08-29,sábado,2420,24,Cachorro,5,7042,70,Cavalo,11,7865,78,Macaco,17,9835,98,Cobra,9,3685,36,Tigre,22,6055,60,Gato,14,1174,11,Pavâo,19,9212,92,Burro,3,3102,31,Avestruz,1,2859,28,Jacaré,15
2026-08-28,sexta-feira,7799,77,Vaca,25,8974,89,Pavâo,19,0662,06,Leâo,16,5776,57,Pavâo,19,3787,37,Tigre,22,6689,66,Urso,23,8700,87,Vaca,25,0029,00,Camelo,8,5985,59,Tigre,22,0859,08,Jacaré,15
2026-08-27,quinta-feira,6295,62,Veado,24,1166,11,Macaco,17,4899,48,Vaca,25,6435,64,Cobra,9,0533,05,Cobra,9,0614,06,Borboleta,4,8675,86,Pavâo,19,4458,44,Jacaré,15,4957,49,Jacaré,15,6582,65,Touro,21
2026-08-26,quarta-feira,4734,47,Cobra,9,3219,32,Cachorro,5,2608,26,Águia,2,2732,27,Camelo,8,6491,64,Urso,23,9031,90,Camelo,8,9089,90,Urso,23,5790,57,Urso,23,3659,36,Jacaré,15,2023,20,Cabra,6
2026-08-25,terça-feira,4325,43,Carneiro,7,9262,92,Leâo,16,7461,74,Leâo,16,4928,49,Carneiro,7,9681,96,Touro,21,7508,75,Águia,2,1865,18,Macaco,17,2690,26,Urso,23,4981,49,Touro,21,1597,15,Vaca,25
2026-08-24,segunda-feira,6416,64,Borboleta,4,3997,39,Vaca,25,7869,78,Porco,18,9752,97,Galo,13,5406,54,Águia,2,4727,47,Carneiro,7,7331,73,Camelo,8,6082,60,Touro,21,3371,33,Porco,18,5971,59,Porco,18
2026-08-23,domingo,5550,55,Galo,13,6066,60,Macaco,17,8833,88,Cobra,9,4896,48,Veado,24,9627,96,Carneiro,7,4279,42,Peru,20,6698,66,Vaca,25,9613,96,Borboleta,4,4682,46,Touro,21,3189,31,Urso,23
