data,dia_semana,milhar_1,cabeca_1,bicho_nome_1,bicho_numero_1,milhar_2,cabeca_2,bicho_nome_2,bicho_numero_2,milhar_3,cabeca_3,bicho_nome_3,bicho_numero_3,milhar_4,cabeca_4,bicho_nome_4,bicho_numero_4,milhar_5,cabeca_5,bicho_nome_5,bicho_numero_5,milhar_6,cabeca_6,bicho_nome_6,bicho_numero_6,milhar_7,cabeca_7,bicho_nome_7,bicho_numero_7,milhar_8,cabeca_8,bicho_nome_8,bicho_numero_8,milhar_9,cabeca_9,bicho_nome_9,bicho_numero_9,milhar_10,cabeca_10,bicho_nome_10,bicho_numero_10
2026-09-13,domingo,2931,29,Camelo,8,9220,92,Cachorro,5,5372,53,Porco,18,6774,67,Pavâo,19,2963,29,Leâo,16,2635,26,Cobra,9,9279,92,Peru,20,1511,15,Burro,3,9116,91,Borboleta,4,3244,32,Cavalo,11
2026-09-12,sábado,1165,11,Macaco,17,7557,75,Jacaré,15,4706,47,Águia,2,9669,96,Porco,18,8299,82,Vaca,25,3989,39,Urso,23,2533,25,Cobra,9,2683,26,Touro,21,2451,24,Galo,13,2929,29,Camelo,8
2026-09-11,sexta-feira,7231,72,Camelo,8,0411,04,Burro,3,6437,64,Coelho,10,8849,88,Galo,13,8111,81,Burro,3,9228,92,Carneiro,7,8875,88,Pavâo,19,0214,02,Borboleta,4,1063,10,Leâo,16,4325,43,Carneiro,7
2026-09-10,quinta-feira,0034,00,Cobra,9,2049,20,Galo,13,8919,89,Cachorro,5,3642,36,Cavalo,11,8618,86,Cachorro,5,1800,18,Vaca,25,0352,03,Galo,13,9794,97,Veado,24,7956,79,Gato,14,4449,44,Galo,13
2026-09-09,quarta-feira,5513,55,Borboleta,4,6851,68,Galo,13,2421,24,Cabra,6,5841,58,Cavalo,11,8560,85,Jacaré,15,6387,63,Tigre,22,4548,45,Elefante,12,9751,97,Galo,13,7910,79,Burro,3,3950,39,Galo,13
2026-09-08,terça-feira,8882,88,Touro,21,4373,43,Pavâo,19,4100,41,Vaca,25,2508,25,Águia,2,5202,52,Avestruz,1,8504,85,Avestruz,1,3207,32,Águia,2,4716,47,Borboleta,4,4248,42,Elefante,12,0036,00,Cobra,9
2026-09-07,segunda-feira,9669,96,Porco,18,1711,17,Burro,3,7741,77,Cavalo,11,4435,44,Cobra,9,8272,82,Porco,18,0528,05,Carneiro,7,6456,64,Gato,14,3060,30,Jacaré,15,7079,70,Peru,20,1871,18,Porco,18
2026-09-06,domingo,7085,70,Tigre,22,0173,01,Pavâo,19,0749,07,Galo,13,1778,17,Peru,20,3122,31,Cabra,6,4606,46,Águia,2,1686,16,Tigre,22,9543,95,Cavalo,11,5794,57,Veado,24,6789,67,Urso,23
2026-09-05,sábado,4990,49,Urso,23,3017,30,Cachorro,5,1198,11,Vaca,25,1060,10,Jacaré,15,2087,20,Tigre,22,0454,04,Gato,14,7701,77,Avestruz,1,2209,22,Burro,3,4900,49,Vaca,25,2533,25,Cobra,9
2026-09-04,sexta-feira,6278,62,Peru,20,4670,46,Porco,18,1608,16,Águia,2,6611,66,Burro,3,1662,16,Leâo,16,8829,88,Camelo,8,2134,21,Cobra,9,5437,54,Coelho,10,5924,59,Cabra,6,8956,89,Gato,14
2026-09-03,quinta-feira,8090,80,Urso,23,3641,36,Cavalo,11,6097,60,Vaca,25,6352,63,Galo,13,9103,91,Avestruz,1,4038,40,Coelho,10,1004,10,Avestruz,1,0259,02,Jacaré,15,2471,24,Porco,18,0066,00,Macaco,17
2026-09-02,quarta-feira,7896,78,Veado,24,7402,74,Avestruz,1,6802,68,Avestruz,1,2157,21,Jacaré,15,8251,82,Galo,13,0647,06,Elefante,12,5327,53,Carneiro,7,3450,34,Galo,13,0767,07,Macaco,17,7295,72,Veado,24
2026-09-01,terça-feira,0937,09,Coelho,10,2643,26,Cavalo,11,0288,02,Tigre,22,1995,19,Veado,24,8410,84,Burro,3,2938,29,Coelho,10,8572,85,Porco,18,7535,75,Cobra,9,1979,19,Peru,20,7104,71,Avestruz,1
2026-08-31,segunda-feira,9459,94,Jacaré,15,6410,64,Burro,3,6888,68,Tigre,22,4923,49,Cabra,6,0799,07,Vaca,25,8774,87,Pavâo,19,1846,18,Elefante,12,6476,64,Pavâo,19,5891,58,Urso,23,3382,33,Touro,21
